PDB ID,Annotation
A0A023NA98,FunSoC
A0A023T6V0,FunSoC
A0A023Z7G9,FunSoC
A0A059ZG31,FunSoC
A0A059ZIJ1,FunSoC
A0A059ZUH9,FunSoC
A0A068A251,FunSoC
A0A068A2D7,FunSoC
A0A069BGX1,FunSoC
A0A069XSN5,FunSoC
A0A072YLN4,FunSoC
A0A075C777,FunSoC
A0A077UJ35,FunSoC
A0A080VCV3,FunSoC
A0A086HV98,FunSoC
A0A089G6U8,FunSoC
A0A097PAT7,FunSoC
A0A098MT76,FunSoC
A0A0A0V0E0,FunSoC
A0A0A0V0R0,FunSoC
A0A0A1DY65,FunSoC
A0A0A1EKG3,FunSoC
A0A0A7MAV0,FunSoC
A0A0A7MFS9,FunSoC
A0A0C6P4F8,FunSoC
A0A0D5YCC7,FunSoC
A0A0D5YCG8,FunSoC
A0A0D5YD47,FunSoC
A0A0D5YDV1,FunSoC
A0A0D5YDX9,FunSoC
A0A0D5YF55,FunSoC
A0A0D5YGA4,FunSoC
A0A0D5YGK0,FunSoC
A0A0D5YHU7,FunSoC
A0A0D5YI93,FunSoC
A0A0D5YIJ3,FunSoC
A0A0D5YJC7,FunSoC
A0A0D5YJE9,FunSoC
A0A0D5YJL3,FunSoC
A0A0D5YJW1,FunSoC
A0A0D5YK63,FunSoC
A0A0D5YK91,FunSoC
A0A0D5YKT7,FunSoC
A0A0D5YLC4,FunSoC
A0A0D5YLI1,FunSoC
A0A0D5YM85,FunSoC
A0A0D5YMB2,FunSoC
A0A0D5YMB6,FunSoC
A0A0D5YMC2,FunSoC
A0A0D5YMI0,FunSoC
A0A0D5YMN4,FunSoC
A0A0D5YMP5,FunSoC
A0A0D5YNG8,FunSoC
A0A0D5YNH4,FunSoC
A0A0D5YNL6,FunSoC
A0A0D5YNU0,FunSoC
A0A0D5YNZ3,FunSoC
A0A0D6ZN92,FunSoC
A0A0D8G7I3,FunSoC
A0A0D8GMG5,FunSoC
A0A0E0UU11,FunSoC
A0A0E1AI32,FunSoC
A0A0E1EU06,FunSoC
A0A0E1VM34,FunSoC
A0A0E3TIJ6,FunSoC
A0A0E3XHQ4,FunSoC
A0A0E3XJ46,FunSoC
A0A0F3TZI9,FunSoC
A0A0F6L1E2,FunSoC
A0A0F6N959,FunSoC
A0A0F6UGR8,FunSoC
A0A0F7R6M6,FunSoC
A0A0F7RBI7,FunSoC
A0A0F7RF09,FunSoC
A0A0F7RM87,FunSoC
A0A0F7RN98,FunSoC
A0A0H2VZ51,FunSoC
A0A0H2W660,FunSoC
A0A0H2WSL3,FunSoC
A0A0H2XDF9,FunSoC
A0A0H3B1G5,FunSoC
A0A0H3BYC4,FunSoC
A0A0H3G4K1,FunSoC
A0A0H3HIJ5,FunSoC
A0A0H3HYD1,FunSoC
A0A0H3I0L5,FunSoC
A0A0H3JDI4,FunSoC
A0A0H3JGR6,FunSoC
A0A0H3JK70,FunSoC
A0A0H3K686,FunSoC
A0A0H3K6Z6,FunSoC
A0A0H3K6Z8,FunSoC
A0A0H3KAV3,FunSoC
A0A0H3LK44,FunSoC
A0A0H3LK84,FunSoC
A0A0H3LKS3,FunSoC
A0A0H3LPI1,FunSoC
A0A0H3LPZ7,FunSoC
A0A0H3MHK7,FunSoC
A0A0H3PA52,FunSoC
A0A0H8V525,FunSoC
A0A0K0GKN6,FunSoC
A0A0K0GR09,FunSoC
A0A0K1NZI5,FunSoC
A0A0L7EE15,FunSoC
A0A0M3F9E6,FunSoC
A0A0M3T2K6,FunSoC
A0A0M3T2L2,FunSoC
A0A0M3T2M9,FunSoC
A0A0M3T2N3,FunSoC
A0A0M4LHM1,FunSoC
A0A0M4LIR9,FunSoC
A0A0M4LIT1,FunSoC
A0A0M5KSB7,FunSoC
A0A0M5KSB8,FunSoC
A0A0M5KUB1,FunSoC
A0A0P9YD39,FunSoC
A0A0T7L994,FunSoC
A0A0T8UBD3,FunSoC
A0A0X1KH90,FunSoC
A0A116KG15,FunSoC
A0A122EN55,FunSoC
A0A125YQA8,FunSoC
A0A125YYK6,FunSoC
A0A135XGV5,FunSoC
A0A140IX44,FunSoC
A0A142JAG6,FunSoC
A0A151H128,FunSoC
A0A171JW44,FunSoC
A0A193KW34,FunSoC
A0A1C2M3K6,FunSoC
A0A1C8C3C0,FunSoC
A0A1D8H0E5,FunSoC
A0A1D8H0E7,FunSoC
A0A1D8PCL1,FunSoC
A0A1E8X590,FunSoC
A0A1E8XD63,FunSoC
A0A1G5LZH7,FunSoC
A0A1I9WAL7,FunSoC
A0A1J6YVG5,FunSoC
A0A1J9V7F5,FunSoC
A0A1R2P3N9,FunSoC
A0A1R3Y2R5,FunSoC
A0A1S5XVV3,FunSoC
A0A1S5XVV6,FunSoC
A0A1S5XVV9,FunSoC
A0A1S5XVW5,FunSoC
A0A1S6ZGK1,FunSoC
A0A1U8QT85,FunSoC
A0A1V0PNF1,FunSoC
A0A1V0PNF8,FunSoC
A0A1V0PNG5,FunSoC
A0A1X9HVQ2,FunSoC
A0A1X9IGW3,FunSoC
A0A1X9IGW5,FunSoC
A0A1Z3UXP1,FunSoC
A0A222ZDK3,FunSoC
A0A242V4K2,FunSoC
A0A2D0NPY5,FunSoC
A0A2H4PQH7,FunSoC
A0A2H4PQI5,FunSoC
A0A2I6PEZ4,FunSoC
A0A2K1SY04,FunSoC
A0A2R4DBH3,FunSoC
A0A2R4TTF4,FunSoC
A0A2T8QYS9,FunSoC
A0A2T9MDM9,FunSoC
A0A2V2W5J4,FunSoC
A0A2W3TG75,FunSoC
A0A2X2UMC0,FunSoC
A0A2Z3J947,FunSoC
A0A315GJY7,FunSoC
A0A317YQH1,FunSoC
A0A378KL06,FunSoC
A0A381DQF0,FunSoC
A0A389YG08,FunSoC
A0A393IUQ8,FunSoC
A0A398QUM2,FunSoC
A0A3B6W2N4,FunSoC
A0A3E1NBN2,FunSoC
A0A3F2ZPU4,FunSoC
A0A3F2ZPV4,FunSoC
A0A3F2ZQC2,FunSoC
A0A3F2ZS81,FunSoC
A0A3F3A4W8,FunSoC
A0A3F3DR90,FunSoC
A0A3F3E164,FunSoC
A0A3G5JUU3,FunSoC
A0A3R9RQ68,FunSoC
A0A3S0KZH6,FunSoC
A0A3S3U8D7,FunSoC
A0A3T0PDD9,FunSoC
A0A3U0EPV3,FunSoC
A0A3V7IGK8,FunSoC
A0A3Z6W030,FunSoC
A0A411HE63,FunSoC
A0A454Y060,FunSoC
A0A482PI41,FunSoC
A0A482PJC5,FunSoC
A0A4Q2THA6,FunSoC
A0A4Q2TJX9,FunSoC
A0A4Q4I199,FunSoC
A0A4Q4N5K5,FunSoC
A0A4V8DTQ9,FunSoC
A0A509GV61,FunSoC
A0A514YLR3,FunSoC
A0A5E8W0B9,FunSoC
A0A5F2KUT0,FunSoC
A0A5J0E682,FunSoC
A0A5J6SCR7,FunSoC
A0A5K1SN76,FunSoC
A0A5N0G1B3,FunSoC
A0A5V8M872,FunSoC
A0A5W3SI80,FunSoC
A0A5X5Q710,FunSoC
A0A5Y4GAI7,FunSoC
A0A658Q9B9,FunSoC
A0A6B2Q3V7,FunSoC
A0A6B2QSG1,FunSoC
A0A6G0V6I4,FunSoC
A0A6H3EMK0,FunSoC
A0A6I5JJU3,FunSoC
A0A6N0DGF6,FunSoC
A0A6N3S5J5,FunSoC
A0A7D0MQ02,FunSoC
A0FDW2,FunSoC
A0FDW7,FunSoC
A0FDX1,FunSoC
A0FKE5,FunSoC
A0KHZ7,FunSoC
A0MD28,FunSoC
A0MK31,FunSoC
A0Q477,FunSoC
A0Q4N6,FunSoC
A0Q6U1,FunSoC
A0Q6U3,FunSoC
A0Q7F6,FunSoC
A0Q7H3,FunSoC
A0Q7H5,FunSoC
A0Q7I6,FunSoC
A0QLI5,FunSoC
A0ZS59,FunSoC
A0ZS60,FunSoC
A1A7X6,FunSoC
A1E5K1,FunSoC
A1JU65,FunSoC
A1KEE1,FunSoC
A1KFU9,FunSoC
A1KWP3,FunSoC
A1L015,FunSoC
A1L017,FunSoC
A1VXG4,FunSoC
A1X8C2,FunSoC
A2I8A1,FunSoC
A2I8A2,FunSoC
A2RXV6,FunSoC
A2T3N5,FunSoC
A2T3Q0,FunSoC
A2V7S6,FunSoC
A3DRP7,FunSoC
A3M8K2,FunSoC
A3NLC6,FunSoC
A3NLC8,FunSoC
A3P6Y8,FunSoC
A3P6Z0,FunSoC
A3RFF4,FunSoC
A3RY20,FunSoC
A4GCL7,FunSoC
A4GYZ0,FunSoC
A4URZ5,FunSoC
A4URZ8,FunSoC
A4VTQ7,FunSoC
A4VZZ3,FunSoC
A5CD77,FunSoC
A5F934,FunSoC
A5HBL2,FunSoC
A5HZZ4,FunSoC
A5HZZ5,FunSoC
A5HZZ6,FunSoC
A5PM37,FunSoC
A5PM38,FunSoC
A5TZK3,FunSoC
A5U027,FunSoC
A5U0E5,FunSoC
A6QG57,FunSoC
A6QIG2,FunSoC
A6QIG7,FunSoC
A6QJQ7,FunSoC
A6T8S5,FunSoC
A6T8S6,FunSoC
A6TA11,FunSoC
A6VAA1,FunSoC
A6YCJ6,FunSoC
A7DV97,FunSoC
A7GBG2,FunSoC
A7H2F1,FunSoC
A7J8L4,FunSoC
A7J8L8,FunSoC
A7L035,FunSoC
A7MLJ8,FunSoC
A7NAP3,FunSoC
A7TWE4,FunSoC
A7TWE5,FunSoC
A7X0D6,FunSoC
A7X0D9,FunSoC
A7X3M9,FunSoC
A7X4T8,FunSoC
A8B1H9,FunSoC
A8QWG4,FunSoC
A9J1E9,FunSoC
A9J7N5,FunSoC
A9JX07,FunSoC
A9KFA6,FunSoC
A9KFH5,FunSoC
A9MJD1,FunSoC
A9N5C6,FunSoC
A9Q1L1,FunSoC
B0CKN3,FunSoC
B1BE43,FunSoC
B1GVN9,FunSoC
B1GVP0,FunSoC
B1INP6,FunSoC
B1INP8,FunSoC
B1INP9,FunSoC
B1INQ0,FunSoC
B1L2G4,FunSoC
B1NNT7,FunSoC
B1P6D9,FunSoC
